"ID","Name","cpumfs/im_Utilization"
175,norja08-pmdc,14.0
175,norja08-pmdc,15.0
175,norja08-pmdc,15.0
175,norja08-pmdc,15.0
175,norja08-pmdc,15.0
175,norja08-pmdc,15.0
175,norja08-pmdc,18.0
175,norja08-pmdc,18.0
175,norja08-pmdc,19.0
175,norja08-pmdc,20.0
175,norja08-pmdc,18.0
175,norja08-pmdc,18.0
175,norja08-pmdc,31.0
175,norja08-pmdc,24.0
175,norja08-pmdc,18.0
175,norja08-pmdc,19.0
175,norja08-pmdc,19.0
175,norja08-pmdc,19.0
175,norja08-pmdc,17.0
175,norja08-pmdc,17.0
175,norja08-pmdc,25.0
175,norja08-pmdc,19.0
175,norja08-pmdc,19.0
175,norja08-pmdc,19.0
175,norja08-pmdc,18.0
175,norja08-pmdc,18.0
175,norja08-pmdc,19.0
175,norja08-pmdc,19.0
175,norja08-pmdc,20.0
175,norja08-pmdc,19.0
175,norja08-pmdc,23.0
175,norja08-pmdc,18.0
175,norja08-pmdc,18.0
175,norja08-pmdc,18.0
175,norja08-pmdc,17.0
175,norja08-pmdc,17.0
175,norja08-pmdc,18.0
175,norja08-pmdc,21.0
175,norja08-pmdc,16.0
175,norja08-pmdc,16.0
175,norja08-pmdc,18.0
175,norja08-pmdc,19.0
175,norja08-pmdc,21.0
175,norja08-pmdc,22.0
175,norja08-pmdc,18.0
175,norja08-pmdc,18.0
175,norja08-pmdc,20.0
175,norja08-pmdc,20.0
175,norja08-pmdc,18.0
175,norja08-pmdc,19.0
175,norja08-pmdc,18.0
175,norja08-pmdc,18.0
175,norja08-pmdc,19.0
175,norja08-pmdc,19.0
175,norja08-pmdc,19.0
175,norja08-pmdc,20.0
175,norja08-pmdc,19.0
175,norja08-pmdc,19.0
175,norja08-pmdc,18.0
175,norja08-pmdc,18.0
175,norja08-pmdc,23.0
175,norja08-pmdc,27.0
175,norja08-pmdc,41.0
175,norja08-pmdc,34.0
175,norja08-pmdc,21.0
175,norja08-pmdc,27.0
175,norja08-pmdc,19.0
175,norja08-pmdc,19.0
175,norja08-pmdc,20.0
175,norja08-pmdc,21.0
175,norja08-pmdc,19.0
175,norja08-pmdc,19.0
175,norja08-pmdc,20.0
175,norja08-pmdc,21.0
175,norja08-pmdc,19.0
175,norja08-pmdc,20.0
175,norja08-pmdc,20.0
175,norja08-pmdc,20.0
175,norja08-pmdc,21.0
175,norja08-pmdc,20.0
175,norja08-pmdc,19.0
175,norja08-pmdc,18.0
175,norja08-pmdc,18.0
175,norja08-pmdc,18.0
175,norja08-pmdc,20.0
175,norja08-pmdc,20.0
175,norja08-pmdc,21.0
175,norja08-pmdc,22.0
175,norja08-pmdc,20.0
175,norja08-pmdc,20.0
175,norja08-pmdc,19.0
175,norja08-pmdc,20.0
175,norja08-pmdc,21.0
175,norja08-pmdc,21.0
175,norja08-pmdc,16.0
175,norja08-pmdc,20.0
175,norja08-pmdc,15.0
175,norja08-pmdc,16.0
175,norja08-pmdc,18.0
175,norja08-pmdc,19.0
175,norja08-pmdc,16.0
175,norja08-pmdc,16.0
175,norja08-pmdc,20.0
175,norja08-pmdc,18.0
175,norja08-pmdc,19.0
175,norja08-pmdc,19.0
175,norja08-pmdc,17.0
175,norja08-pmdc,18.0
175,norja08-pmdc,24.0
175,norja08-pmdc,35.0
175,norja08-pmdc,18.0
175,norja08-pmdc,18.0
175,norja08-pmdc,18.0
175,norja08-pmdc,17.0
175,norja08-pmdc,18.0
175,norja08-pmdc,18.0
175,norja08-pmdc,19.0
175,norja08-pmdc,20.0
175,norja08-pmdc,18.0
175,norja08-pmdc,19.0
175,norja08-pmdc,23.0
175,norja08-pmdc,23.0
175,norja08-pmdc,17.0
175,norja08-pmdc,18.0
175,norja08-pmdc,21.0
175,norja08-pmdc,24.0
175,norja08-pmdc,20.0
175,norja08-pmdc,19.0
175,norja08-pmdc,19.0
175,norja08-pmdc,19.0
175,norja08-pmdc,19.0
175,norja08-pmdc,18.0
175,norja08-pmdc,22.0
175,norja08-pmdc,23.0
175,norja08-pmdc,30.0
175,norja08-pmdc,29.0
175,norja08-pmdc,13.0
175,norja08-pmdc,14.0
175,norja08-pmdc,18.0
175,norja08-pmdc,18.0
175,norja08-pmdc,26.0
175,norja08-pmdc,19.0
175,norja08-pmdc,25.0
175,norja08-pmdc,23.0
175,norja08-pmdc,21.0
175,norja08-pmdc,21.0
175,norja08-pmdc,24.0
175,norja08-pmdc,22.0
175,norja08-pmdc,21.0
175,norja08-pmdc,21.0
175,norja08-pmdc,27.0
175,norja08-pmdc,25.0
175,norja08-pmdc,22.0
175,norja08-pmdc,21.0
175,norja08-pmdc,22.0
175,norja08-pmdc,22.0
175,norja08-pmdc,21.0
175,norja08-pmdc,23.0
175,norja08-pmdc,21.0
175,norja08-pmdc,21.0
175,norja08-pmdc,19.0
175,norja08-pmdc,20.0
175,norja08-pmdc,20.0
175,norja08-pmdc,20.0
175,norja08-pmdc,19.0
